lijf	body
rennen	to run
lach	laugh, smile
sigaret	cigarette
huid	skin
verbergen	to hide
toon	tone
geur	odour
tand	tooth
aarzelen	to hesitate
kleden	to dress
aarde	earth
geest	mind, spirit
branden	to burn
glimlach	smile
overeind	up
smal	narrow
brood	bread
zodra	once, as soon as
schenken	to donate
vrolijk	cheerful, merry
kast	cupboard
mompelen	to mumble
nek	neck
keel	throat
zuchten	to sigh
trillen	to tremble, to shake
he	hey
voortdurend	continuous
voorhoofd	forehead
roken	to smoke
dansen	to dance
bloot	bare
spiegel	mirror
houten	wooden
vuur	fire
zwaaien	to wave
opzij	aside
verte	distance
hals	neck
dun	thin
tas	bag
spoor	a) trace b) track
gezelschap	company
geloof	faith, religion
klap	blow
rook	smoke
binnenkomen	to enter
leunen	to lean
vogel	bird
café	café, pub
ophouden	to stop
verschrikkelijk	terrible
schaduw	shadow
luid	loud
verlangen	desire
tong	tongue
wagen	car
wijn	wine
verbaasd	surprised, amazed
wassen	to wash
drukte	bustle, commotion
vlees	meat
zuster	sister
tikken	to tap
strak	tight
opstaan	to stand up
traag	slow
vaag	vague
snijden	to cut, to slice
blond	blond
gordijn	curtain
vegen	to sweep
dromen	to dream
terugkomen	to return
rollen	to roll
grap	joke
knijpen	to pinch
afscheid	farewell, goodbye
dronken	drunk
wolk	cloud
slaapkamer	bedroom
wrijven	to rub
jurk	dress
tante	aunt
vertrek	a) room b) departure departure
uitzien	to look
gras	grass
dichtbij	close
paard	horse
stapel	pile
nat	wet
verdriet	sadness
doos	box
kennelijk	obviously
naderen	to approach
ziel	soul
berg	mountain
stoten	to bump, to knock
kerel	guy
heffen	to lift
ruiken	to smell
wekken	to wake up
spijt	regret
thee	tea
bier	beer
strelen	to caress, to stroke
bezitten	to possess
zucht	sigh
morgen	morning
aankijken	to look at
enigszins	somewhat
helder	clear
oom	uncle
glanzen	to shine
verliefd	in love
woede	rage
poot	leg, paw
verbazing	amazement
stel	set, couple
volkomen	completely
verlangen	to long
kussen	pillow
onverwacht	unexpected
duiken	to dive
tillen	to lift
mager	lean
waarschuwen	to warn
vent	fellow, bloke
overkant	other side
wenkbrauw	eyebrow
strekken	to straighten
spul	stuff, things
vertrouwd	familiar
wand	wall
zweet	sweat
thuiskomen	to come home
plastic	plastic
opwinden (zich)	to get excited, to get worked up
barsten	to crack
spraak	speech
bril	(pair of) glasses
sleutel	key
kin	chin
hout	wood
honger	hunger
rusten	to rest
schat	treasure, dear
wonder	miracle
weggaan	to leave
teen	toe
verrassen	to surprise
allang	a long time ago
stralen	to shine
koel	cool
wenden (zich)	to turn
klok	clock
koffer	suitcase
lamp	lamp
hoed	hat
dwars	diagonal
deken	blanket
voordeur	front door
achterlaten	to leave behind
blind	blind
lijk	corpse
optrekken	a) to accelerate b) to put up
moed	courage
kalm	calm
zorgvuldig	careful
vervolgen	to continue a) to continue b) to prosecute
terugkeren	to return
vel	sheet
rukken	to snatch, to tear
kussen	to kiss
gulden	guilder
verdieping	floor
heilig	holy
zand	sand
warmte	heat
schuin	oblique
slepen	to drag
schilderen	to paint
vuist	fist
vouwen	to fold
tak	branch
laken	sheet
rok	skirt
ontsnappen	to escape
nieuwsgierig	curious
hijgen	to gasp, to pant
vuil	dirt
hal	hall
bar	bar
gewoonte	habit
naakt	nude, naked
hevig	violent, fierce
keurig	neat
roze	pink
stinken	to smell
haastig	hasty
mes	knife
liegen	to lie
kraken	to crunch, to crack
eeuwig	eternal
tevoren	before
gemak	ease
reiken	to reach
schamen (zich)	to be ashamed
wijd	wide
kaal	bald
lot	fate
glimmen	to glow, to shine
knippen	to cut
eenzaam	lonely
onderbreken	to interrupt
bedekken	to cover
slok	sip
vlek	stain
scheuren	to tear
wijs	wise
achterover	backwards
merkwaardig	curious
horloge	watch
ongetwijfeld	undoubtedly
gillen	to scream
plank	plank, board
net	neat, tidy
verlegen	shy
mouw	sleeve
steek	stitch, twinge
golf	wave
plafond	ceiling
touw	rope
stromen	to flow
nerveus	nervous
schoonheid	beauty
maag	stomach
stijf	stiff
kruis	cross
staart	tail
duim	thumb
strijken	to brush, to stroke
ademen	to breathe
voorover	face forward
