puta	whore, prostitute
rol	role
burlar	to mock
formular	to formulate
espacial	spatial, space
insecto	insect
continuación	continuation, follow-up
equivalente	equivalent
dotar	to endow, bestow
arder	to burn, glow
atento	attentive, polite
filosófico	philosophical
monetario	monetary,
saco	sack, bag, plunder
invisible	invisible
estatua	statue
vapor	vapor, steam
capturar	to capture
cálido	warm
favorable	favorable, suitable
bronce	bronze
turístico	tourist
ahorita	right now, in a minute
helado	iced, freezing, icy
gallo	rooster
desagradable	unpleasant
suficientemente	enough
resumir	to summarize
préstamo	loan, borrowing
quieto	still, motionless, calm
tubo	tube, pipe
librar	to liberate, set free
considerable	considerable
cuadrado	square
precisión	precision
trámite	procedure, step, requirement
pastor	shepherd, pastor
acero	steel
comedia	comedy, play, pretense
pendiente	aware of, pending
fibra	fiber, grain
juvenil	young, juvenile
obvio	obvious
fiscal	district attorney, prosecutor
trampa	"trick, trap; hacer t.: to cheat"
espeso	thick, dense, stiff
vínculo	tie, bond, link
charla	talk, chat
regir	to rule, govern, manage
rutina	routine
coste	cost, price
federación	federation
roto	broken, torn
hembra	female, woman
inflación	inflation
sorprendente	surprising, astonishing
estabilidad	stability
paraíso	paradise
llama	flame, llama
puño	fist, handle, cuff
pausa	pause
cartera	wallet, satchel
pañuelo	handkerchief, shawl
estratégico	strategic
taza	cup, bowl
reventar	to burst, puncture
reservar	to reserve, book
relatar	to tell, narrate
hierba	herb, grass, weed
teórico	theoretical
lógicamente	logically
dosis	dose
tendido	spread, hung, laid (out)
cocinar	to cook
tránsito	traffic, transit
estupendo	marvelous, stupendous
pacífico	peaceful
entrenamiento	training
frenar	to brake, restrain
prevenir	to avoid, prevent
complejo	complex
conservación	conservation
antigüedad	antiquity, seniority
cuota	quota, share, dues
participante	participant
crítico	critic
cenar	to dine
depresión	depression, slump
paraguayo	Paraguayan
suspirar	to sigh
básicamente	basically
vicepresidente	vice president
desaparición	disappearance
magia	magic
prima	female cousin, down payment
adorar	to worship, adore
afán	eagerness, zeal, effort
casco	helmet
retener	to keep, retain
estético	aesthetic
martes	Tuesday
urgencia	urgency
proveer	to provide
receta	recipe, prescription
editorial	publisher (f), editorial article (m)
taxi	taxi, cab
saber	knowledge
banca	bank, banking
transición	transition
asombrar	to amaze, astound
tonelada	ton
lingüístico	linguistic
quebrar	to break, bend, weaken
válido	valid
invasión	invasion
descartar	to discard, reject, rule out
contaminación	contamination, pollution
aplastar	to flatten, crush, smash
amanecer	to dawn, become light
reglamento	regulations, rules
gravedad	seriousness, gravity
beca	scholarship, grant
sincero	sincere
lata	(tin) can
hipótesis	hypothesis
periodismo	journalism
robo	theft, robbery
respectivamente	respectively
desorden	disorder, mess
mudo	mute, silent
trayectoria	trajectory, path
distraer	to distract
balcón	balcony
nostalgia	nostalgia, homesickness
ganador	winner
apropiado	appropriate
inesperado	unexpected, unforeseen
renta	income
autonomía	autonomy, range
cartel	poster
secuencia	sequence
