trots	pride
cynisch	cynical
handvol	handful
mijden	to avoid
opdagen	to turn up
binnenstad	town centre
tempel	temple
beroven	to rob
meedelen	to announce
gaaf	a) intact b) great great
allerminst	not in the least
achterlijk	backward
beklagen	to pity
maandenlang	for months
levend	living, alive
daarstraks	just now
verteren	to digest
jeugdig	youthful
ertussen	in between
kok	cook
warenhuis	department store
slaaf	slave
handtas	handbag
genaamd	called
lullig	silly
ontevreden	dissatisfied
eender	(the) same
eerste	first
euro	euro
tweede	second
later	later, subsequent
aldus	thus
procent	per cent
minister	minister
wedstrijd	match
seizoen	season
Europees	European
Vlaams	Flemish
Belgisch	Belgian
ploeg	team
Amerikaans	American
voorzitter	chairman, chair
gemeente	municipality
speler	player
politiek	political
internationaal	international
burgemeester	mayor
huidig	current
nationaal	national
september	September
club	club
sociaal	social
start	start
regering	government
starten	to start
openbaar	public
financieel	financial
actie	action
oktober	October
januari	January
wegens	because of
trainer	trainer
vierde	fourth
mei	May
basis	basis
project	project
woning	house
strijd	battle
juni	June
scoren	to score
momenteel	currently
april	April
maart	March
voormalig	former
rechter	judge
reeks	series
jaarlijks	annual
bezoeker	visitor
onlangs	recently
regio	region
team	team
leider	leader
november	November
juli	July
december	December
actief	active
bestuur	board
winst	profit
cijfer	figure, number a) figure, number b) mark
dankzij	thanks to
Brits	British
controle	control
steun	support
finale	final
kosten	costs
augustus	August
lokaal	local
februari	February
schip	ship
verkiezing	election
ronde	round
veroordelen	to condemn
bestuurder	manager
buitenlands	foreign
match	match
gemiddeld	average
economisch	economic
aankondigen	to announce
bewoner	occupant
centraal	central
inwoner	resident, inhabitant
maatregel	measure
dader	perpetrator, offender
ene	a, one
daarnaast	beside it
stelen	to steal
voetbal	football
contract	contract
werknemer	employee
zege	victory
rechtbank	court
technisch	technical
president	president
eisen	to demand
premier	prime minister
amper	barely
woordvoerder	spokesman
alvast	meanwhile
beschikken	to have at one’s disposal
cel	cell
vervangen	to replace
samenwerking	collaboration
eigenaar	owner
kandidaat	candidate
sport	sport
West-Vlaams	West Flemish
doelpunt	goal
politicus	politician
medewerker	employee
recent	recent
risico	risk
bevolking	population
activiteit	activity
tegenstander	opponent
schade	damage
definitief	final
gewond	injured
verdenken	to suspect
dollar	dollar
bedrag	amount, sum
provincie	province
miljard	billion
boete	fine
trainen	to train
klacht	complaint
website	website
nadien	after(wards)
verkeer	traffic
provinciaal	provincial
media	media
populair	popular
redactie	editorial staff
klasse	class
dossier	file
vereniging	club
overwinning	victory
Brussels	Brussels
burger	citizen
meerderheid	majority
prestatie	performance
plannen	to plan
personeel	staff
verlies	loss
agent	policeman
Amerikaan	American
schepen	local councillor
aandeel	share
bedragen	to amount (to)
nochtans	nevertheless
winnaar	winner
brandweer	fire department
economie	economy
veiligheid	safety
advocaat	lawyer
kampioen	champion
dief	thief
competitie	competition
training	training, practice
coach	coach
vijfde	fifth
carrière	career
deelnemer	participant
Antwerps	Antwerp
ongeval	accident
ontkennen	to deny
belanden	to end up
oppakken	to arrest
redacteur	editor
divers	various
commissie	committee
kabinet	cabinet
erkennen	to recognize
spits	striker
gemeenteraad	local council
oplopen	to increase
opvallend	striking
Italiaans	Italian
verkoop	sale
aanhouden	to stop, to arrest
verhogen	to increase
koers	rate
luiden	to read, to be
deelnemen	to participate
doelman	goalkeeper
presenteren	to present
investeren	to invest
partner	partner
opmerkelijk	striking, remarkable
opleveren	to yield
boeken	to book
voorsprong	lead
historisch	historical
plaatselijk	local
behalen	to gain, to achieve
fors	robust
justitie	justice
traditioneel	traditional
wijk	district, neighbourhood
pleiten	to plead
federaal	federal
hoofdstad	capital
parlement	parliament
gemeentebestuur	local authority
samenleving	society
parket	a) parquet b) public prosecutor
anderhalf	one and a half
podium	stage
tachtig	eighty
voertuig	vehicle
waaronder	including
nederlaag	defeat
belofte	promise
aanslag	attack
ambitie	ambition
bedreigen	to threaten
verslaggever	reporter
wereldkampioenschap	world championship
productie	production
oprichten	to establish, to found
talent	talent
voetballen	to play football
rapport	report
stadsbestuur	town government
job	job
benadrukken	to emphasize
campagne	campaign
vlot	quick
voorbereiding	preparation
cultureel	cultural
uniek	unique
publiceren	to publish
militair	military
aanpak	approach
indienen	to present, to file
’s avonds	in the evening, at night
sportief	competitive
vergelijking	comparison
groei	growth
baseren	to base (on)
succesvol	successful
duel	duel, match
bouw	construction
beschikbaar	available
locatie	location
negentig	ninety
concurrentie	competition
gemeenschap	community
verwijzen	to refer
afkomstig	originating, from
Spaans	Spanish
manager	manager
concurrent	competitor
selectie	selection
fan	fan
onafhankelijk	independent
vakbond	trade union
dertien	thirteen
zeventig	seventy
unie	union
tentoonstelling	exhibition
supporter	supporter
beurs	stock market, exchange market
editie	edition
gevangenis	prison
gemeentelijk	municipal
schorsen	to suspend
operatie	operation
voldoen	to satisfy, to fulfil
illegaal	illegal
bijdrage	contribution
publiek	public
diefstal	theft
kunstenaar	artist
bekendmaken	to announce
inzet	effort
vrachtwagen	lorry
onderhandeling	negotiation
overbrengen	to transfer
renner	rider, runner
omzet	turnover
Gents	Ghent
werkgever	employer
verdediger	defender
versie	version
ontslag	resignation, dismissal
investering	investment
relatief	relative
lanceren	to launch
onderneming	enterprise
gerecht	a) dish b) law court
inschrijven (zich)	to register
onderzoeker	researcher
beschuldigen	to accuse
vernieuwen	to renew
maximaal	maximum
vooraf	beforehand
verlengen	to extend
blessure	injury
wereldwijd	worldwide
goal	goal
conflict	conflict
organisator	organizer
ontslaan	to dismiss, to fire
topper	top-class match
wijten	to blame
gedenken	to remember
verkiezen	a) to prefer b) to elect
verscheiden	several
verdediging	defence
volop	in abundance
directie	management
evenement	event
onvoldoende	insufficient
evenwel	nevertheless
Amsterdams	Amsterdam
opvolger	successor
site	site
oorspronkelijk	original
vzw	non-profit organization
tal	number
kiezer	voter
subsidie	subsidy
serie	series
produceren	to produce
oordelen	to judge
alternatief	alternative
achterstand	arrears
botsen	to clash
koppel	couple
fysiek	physical
incident	incident
kruispunt	crossing
stijging	increase
profiteren	to benefit
duo	duo
schot	shot
telefoonnummer	telephone number
Turks	Turkish
hopelijk	hopefully
aanleg	construction
toenmalig	former, then
beschikking	disposal
gemeenteraadsverkiezing	local election
thuisploeg	home team
correspondent	correspondent
toeschouwer	spectator
nieuwkomer	newcomer
schorsing	suspension
regisseur	director, producer
verwonding	injury
consument	consumer
opbrengst	proceeds
koninklijk	royal
eentje	one
bond	union
mede	also
oppositie	opposition
optie	option
zaterdagavond	Saturday evening
kampen	to cope with, to struggle with
uitbreiding	expansion
verslaan	to defeat
onderhandelen	to negotiate
overeenkomst	agreement
kampioenschap	championship
inbraak	burglary
democratisch	democratic
show	show
schrappen	to delete, to cancel
werking	effect functioning
