bir	a, an
ol	to be; to become
ve	and
bu	this
de, da	too, also
et	(v) to do, to make (n) meat; flesh
o	she/he/it
yap	to do, to make
al	to take, to get
de	to say
ben	I, me
gel	to come
için	for
çok	very; much, many, a lot of
ver	to give
ne	what
daha	more
gibi	like
gör	to see
kendi	self
-mi, -mu	question particle
var	(n) existent; existential predicate (v) to reach, to arrive at
çık	to go out (of)
ile	with, together
sonra	after; later
yer	place
bul	to find
iç	(n) inside (v) to drink
ama	but, yet, still
zaman	time
her	each, every
şey	thing
kadar	until; as much as
ara	(n) break; interval; distance (v) to look for; to search
git	to go
en	(adv) the most (n) width
yıl	year
değil	be not (nominal negation)
çalış	to work
iste	to want
geç	(v) to pass (adv) late
bil	to know
biz	we, us
gün	day
insan	human, person
anla	to understand
ya	either
el	hand
ki	who, which (subordinating conj.)
kal	to stay, to remain
söyle	to say; to tell
bak	to look at
yok	nonexistent (existential predicate)
ye	to eat
başla	to begin, to start
konu	subject matter, topic
yeni	new
i	to be (defective copular verb)
sen	you (singular)
iş	work, business
önce	before
son	end, conclusion
yan	(n) side (v) to burn
üzeri	on, above
büyük	big; great
yaşa	to live
baş	head
yol	(n) road, way (v) to pluck
neden	(n) reason (adv) why, what for
çocuk	child
diye	saying (coordinating conj.)
gir	to enter
ülke	country
kullan	to use
yüz	(n) face (v) to swim; to skin
dünya	the world, the earth
gerek	(v) to be necessary (modal verb) (n) necessity
biri	someone
durum	state, condition
orta	middle
düşün	to think
getir	to bring
iyi	good
göre	for, according to
böyle	so, thus, such a
aç	(v) to open (adj) hungry
taraf	side
yaz	(v) to write (n) summer
göster	to show
ev	house, home
kadın	woman, female
hal	state, condition
göz	eye
alan	field, open place
aynı	the same
önemli	important
hiç	never
yani	in other words
bura	this place
söz	remark, statement
ilk	first
DOĞRU	(adj) correct (posp) towards
konuş	to talk, to speak
oluş	(v) to come into being (n) becoming; formation
ancak	yet
siz	you (pl.)
birlik	unity
şekil	shape, figure
başka	other
bütün	whole, total, entire
nasıl	how
şu	that
ön	front
çek	(v) to pull (n) cheque
devlet	state
bile	even
geliş	(v) to develop (n) arrival, visit
şimdi	now
hem	and also
kişi	person
düş	(v) to fall (n) dream
dur	to stop
alt	bottom, ground
veya	or
yine	again
özellik	feature; speciality
ad	name
hak	right
sor	to ask
adam	man; person
dönem	period
dış	outside
hayat	life
sağla	to provide
kur	(v) to set up (n) exchange rate
sonuç	result, outcome
sahip	owner
tut	to hold
at	(v) to throw (n) horse
sür	to drive; to last
kız	(n) girl (v) to get angry; to redden
çünkü	because
ora	that place
tek	single, the only
bırak	to leave
su	water
üst	top; upper
oku	to read
sev	to love, to like
duy	to hear
birlikte	together
tanı	(v) to recognize; to be acquainted (n) diagnosis
bekle	to wait (for)
fazla	(adj) much; excessive (adv) too, much, extra (det) much, over
artık	(adv) no more; anymore; no longer (n) leftover
uygula	to apply
baba	father
an	(n) moment, instant (v) to remember; to recollect
değiş	to change
soru	question
diğer	the other
ilgili	related
bilgi	knowledge; information
süre	duration; period
güzel	beautiful
öyle	thus; as such
anne	mother
tarih	date; history
sadece	only, merely
arkadaş	friend
koy	(v) to put; to place (n) cove
bugün	today
kaç	(v) to escape (adj) how many
karar	(n) decision; verdict (v) to get dark, to turn black
genel	general, common
sistem	system
ilişki	relation; connection
para	money
dön	to turn
güç	(n) power (adj) difficult
art	(v) to increase; to remain (n) back; behind
ses	sound; noise; voice
küçük	small, little
bazı	some
tüm	all
açık	open; clear
toplum	society
zor	hard, difficult
sıra	row, line; desk
olay	event; occurrence
ay	moon; month
hemen	right now; immediately
grup	group
belir	to appear
uzun	long
sorun	problem; matter, issue
öl	to die
biraz	a little, some
kitap	book
eski	(adj) old; former (n) to become old
eğitim	education
kazan	(v) to win (n) caldron
saat	hour; watch
ayır	to separate
otur	to sit
tam	exact, full, complete
hareket	movement, motion
halk	people; nation
taşı	to carry
anlam	meaning; sense
yük	load; burden
birbiri	each other
değer	value; worth
say	to count
bit	to finish, to end
nere	where
yaşam	life
açıkla	to explain; to disclose
hiçbir	none; no
yapı	building; structure
yaş	age
kabul	acceptance
az	few, a little
farklı	different
geri	back
devam	continuation
bölge	region
aile	family
karşıla	to meet
genç	young
biçim	form, shape
sayı	number
okul	school
herkes	everybody, everyone
kat	(v) to add (n) floor
yüksek	high
gece	night
kes	to cut
gül	(v) to laugh (n) rose
açı	angle
amaç	aim, goal, purpose
belki	perhaps, maybe
temel	foundation
gerçekleş	to materialize; to happen
ulaş	to reach
hep	always
işle	to commit, to work
ifade	expression; testimony
çevre	environs; surroundings
yak	to ignite; to light
evet	yes
özel	special; personal, private
dil	language; tongue
içeri	inside
tür	kind, type
yürü	to walk
özellikle	especially
erkek	man, male
pek	quite
kez	(x) times
kim	who
süreç	process
kalk	to stand up
kimse	someone, no one
öğren	to learn
kapı	door
nokta	point
etki	effect
hepsi	all
dikkat	attention
ikinci	second
zaten	anyway, anyhow
üzere	is about to
düzenle	to arrange; to organize
bin	to ride; to get on
fark	difference
yarat	to create
yönetim	administration
düşünce	thought, idea
yakın	(adj) near, recent (v) to complain
izle	to follow; to watch
oyna	to play
