suma	sum, amount, summary
cita	appointment, date, quotation
completar	to complete
resolución	resolution
examen	examination, exam +o
patrón	employer, landlord, patron saint
azúcar	sugar
distribución	distribution
composición	composition, makeup, essay
diseñar	to design, develop
alcalde	mayor
facilidad	ease, facility
inferior	lower, inferior
convocar	to convene, summon
fracaso	failure, collapse
infancia	infancy, childhood
habilidad	ability, skill, talent
misterio	mystery
japonés	Japanese
solitario	solitary, lonely
adelantar	to move forward
justamente	just, exactly
pecado	sin
orilla	shore, edge
cotidiano	daily
pedazo	piece, bit
símbolo	symbol
bebé	baby
incrementar	to increase
primario	primary
efectuar	to carry out, cause to happen
taller	workshop, shop
ensayo	essay, rehearsal
favorecer	to favor, help
regional	regional
petróleo	oil, petroleum
traducir	to translate
continuo	continuous
boliviano	Bolivian
baile	dance, ball
tiro	throw, shot
dominicano	Dominican
cárcel	jail, prison
detrás	behind
borrar	to erase
secundario	secondary
carecer	to be without
crimen	crime, murder
liberal	liberal
canto	singing, chant
disponible	available
coronel	colonel
invadir	to invade, overcome
oponer	to oppose
deportivo	sports, sporty
caballero	gentleman, knight
sabio	wise, learned
laboratorio	laboratory
oriental	Eastern, oriental
músico	musician
ampliar	to enlarge, increase, expand
dama	lady, dame
material	material
ciego	blind
oficio	job, occupation, function
frecuente	frequent
sede	headquarters, seat
grueso	thick
gol	goal
concentrar	to concentrate
tejido	fabric, tissue
rendir	"[se] to give in; to render"
alternativa	alternative
claramente	clearly
renunciar	to give up, renounce
anuncio	advertisement, announcement
encuesta	poll, survey, inquiry
admirar	to admire
disparar	to shoot (at)
múltiple	multiple, many
alegre	happy, lively, cheerful
piano	piano
virtud	virtue, quality
salto	jump, hop, skip
tela	cloth, fabric
ave	bird
asamblea	assembly
permiso	permission, permit
ancho	wide
mancha	stain, spot
pata	leg, paw
preparado	prepared
equilibrio	balance
núcleo	nucleus, core
oreja	ear
asiento	seat, chair
profundidad	depth, profundity
atractivo	attractive
jurar	to swear, take an oath
preparación	preparation, training
aceite	oil
árabe	Arab
distrito	district, area
Internet	Internet
cantante	singer
patria	native land, fatherland
león	lion
sabor	taste, flavor, sensation
derivar	to derive, come (from)
definitivamente	definitely, finally
global	global, overall
atmósfera	atmosphere, environment
reserva	reservation, reserve
divertir	to amuse, entertain
gobernar	to govern
cuerda	cord, rope
entrega	delivery
satisfacción	satisfaction
cadáver	corpse, body
ópera	opera
magnífico	magnificent, splendid
brillar	to shine, twinkle, be outstanding
milagro	miracle
académico	academic
negociación	negotiation
paseo	walk, ride
palma	palm tree, palm
aprendizaje	learning, apprenticeship
publicidad	advertising, publicity
meta	goal, aim, purpose
impulso	impulse, momentum
acumular	to accumulate, amass
onda	wave, ripple
llover	to rain
invertir	to invest
definición	definition
madrugada	dawn, daybreak
torre	tower
tabla	chart, board, table, plank
perfil	profile, outline
práctico	practical, skillful
disciplina	discipline, subject
móvil	mobile
notable	outstanding, noteworthy
especializado	specialized, skilled
significado	meaning
salario	salary, wages
inicial	initial
criatura	creature, child
pista	clue, track, trace
lago	lake
digno	worthy
rumbo	direction, course, bearing
probable	probable
cigarrillo	cigarette
orgullo	pride
contratar	to hire, contract
instrucción	instruction
desempeñar	to carry out, fulfill
misa	(religious) Mass
repartir	to divide, deliver, distribute
desconocer	to not know, not recognize
corrupción	corruption
barato	inexpensive
asustar	to frighten, scare
pesado	heavy, boring, tiresome
inteligente	intelligent
padecer	to suffer
mezcla	mixture, blend
penetrar	to penetrate, come in
inspirar	to inspire, inhale
adaptar	to adapt
colectivo	collective, joint
agitar	to shake, move
evidencia	evidence, certainty
finalizar	to end, finalize
automóvil	automobile
venezolano	Venezuelan
caro	expensive, difficult, dear
episodio	episode, incident
cuarto	fourth
recientemente	recently
rasgo	feature, trait
latinoamericano	Latin American
rezar	to pray, recite
concurso	competition, gathering
deber	duty, obligation
elevado	elevated, high, lofty
odiar	to hate
calificar	to grade, rate, qualify
especialista	specialist
gobernador	governor
escritura	writing, scripture
concentración	concentration, gathering
promesa	promise
centrar	to center, focus, base (on)
detectar	to detect
cultivar	to cultivate, produce
fortuna	fortune, fate
productor	producer
adivinar	to guess, solve
vosotros	you (subj-pl/+fam)
síntoma	symptom
vital	vital, lively, essential
transcurrir	to occur, take place
habitar	to inhabit
rumor	rumor, murmur
colaborar	to collaborate, work together
observación	observation
amante	lover
odio	hatred
diablo	devil
alianza	alliance
sed	thirst
extraer	to extract, take out
valorar	to value
sagrado	sacred
dibujar	to draw, sketch
fundación	foundation
emprender	to undertake, embark on
consulta	consultation, advice
cinta	tape, ribbon, film, strip
posiblemente	possibly
creencia	belief
turno	"turn, shift; en t. a: around"
tráfico	traffic, trade
compuesto	composite, mixed
sacudir	to shake, jolt
protesta	objection, protest
abrazo	hug, embrace
igualmente	equally
desgracia	misfortune, bad luck
funcionamiento	functioning, operation
palo	stick, pole
aéreo	aerial, air
fundamentalmente	fundamentally, basically
cómodo	comfortable, convenient
reproducir	to reproduce, repeat
secar	to dry
lujo	luxury
delgado	thin, skinny
héroe	hero
silencioso	quiet, silent
consumidor	consumer
comprometer	to compromise
fiscal	fiscal, treasury
vela	candle, sail, vigil
testimonio	testimony, evidence
estrecho	narrow
proteína	protein
locura	madness, insanity
alegrar	to be/make happy
sillón	armchair, seat
tesis	thesis, exposition
íntimo	close, intimate
presidencial	presidential
adolescente	adolescent
talento	talent, skill
extensión	extension, area, expanse
distribuir	to distribute, deliver
satisfecho	satisfied
nuclear	nuclear
horizonte	horizon
recurrir	to resort to
virgen	virgin
retrato	portrait, photograph
claridad	clearness, clarity
izquierdo	left (opposite of right)
fórmula	formula
pelota	ball
existente	existing
precisar	to do exactly, specify
solucionar	to solve, settle
alrededor	about, around, round
componente	component, ingredient
