emin	safe, secure; sure
kitle	mass; crowd of people
kanal	channel
otel	hotel
basit	simple
hele	above all, especially, in particular
eylül	September
haklı	right; rightful
patla	to burst, to explode
gelişim	development, growth
daire	circle; apartment, flat
teklif	proposal, offer
siyah	black; dark
er	(v) to attain; to reach (n) private
yağmur	rain
birşey	something
yargı	opinion; judgment
saldırı	attack
asla	never, by no means
heyecan	excitement, thrill
sus	to remain silent
yükle	to load
beğen	to like, to admire
kıyı	shore, coast, bank
rüya	dream
sırt	back, dorsal side (of a person or animal)
yen	to beat
oyuncu	player
başvur	to apply; to consult
yalan	lie
dokun	to touch
tutum	manner, attitude
husus	matter, subject; case
altın	gold
şans	luck, chance
insanlık	mankind
kalabalık	(adj) crowded (n) crowd
öngör	to foresee, to envisage
kapalı	shut, closed; covered
devir	(n) rotation; period, era (v) to turn over
eşya	things, belongings
başkanlık	presidency
bağımsız	independent
tatlı	sweet; pleasant, nice
bütçe	budget
uyum	harmony; adaptation
aşırı	excessive, extremely
standart	standard
gazeteci	journalist
bilimsel	scientific, scholarly
komşu	neighbor
mutluluk	happiness, joy
işbirliği	cooperation
girişim	attempt; enterprise, initiative
işlev	function
denetim	inspection; control
elektrik	electricity; electric
abla	older sister
yaprak	leaf
eleştiri	criticism
dalga	wave
kahve	coffee; café
sivil	(n) civilian (adj) civil
gülümse	to smile
ömür	life
kavga	quarrel, fight; struggle
organ	organ
dair	about, concerning, relating to
dahi	(n) genius (conj) also, too; even
gençlik	youth; the young
benimse	to adopt, to internalize
evlilik	marriage
anı	memory
boşluk	emptiness
yıka	to wash
geçerli	valid
kış	winter
davet	invitation
buyur	to command, to order
müdahale	intervention, interference
mahalle	neighborhood; quarter
çift	pair; couple
teslim	delivery; submission
örgütle	to organize
kaybol	to disappear
dağıt	to distribute; to scatter
usta	master; expert; artist
medya	media
liste	list
ekmek	bread
lise	high school
sert	hard, tough; strong
memleket	country, homeland
emek	work, labor
cam	glass
genişle	to widen, to broaden
it	(v) to push (n) stray dog
köpek	dog
deri	skin; leather
dede	grandfather
doğrultu	direction
