miras	heritage; inheritance
kısıtla	to restrict, to limit
hisse	part; lot
doğrula	to verify, to confirm
seri	(n) series (adj) serial
temizlik	cleanliness, cleaning
kuvvetli	strong; powerful
asit	acid
etek	skirt
bıçak	knife
baskın	raid; dominant
basamak	step, stair
torun	grandchild
tabak	plate
ideolojik	ideological
ziyade	rather more; except for
halbuki	but, however, whereas
kahvaltı	breakfast
kimyasal	chemical
kriter	criterion
patron	boss, employer
bulaş	to smudge; to smear; to infect
diyalog	dialogue
komünist	communist
nice	so many
şüphe	doubt, suspicion
buçuk	and a half
zararlı	harmful
ot	weed; grass; herb
felaket	disaster, catastrophe
garanti	guarantee, secure
rica	request
duyu	sense
kaşık	spoon
soğu	to cool
küme	heap, pile, stack
itiraf	confession
psikoloji	psychology
kul	servant (of God)
okuyucu	reader
anneanne	grandmother
aziz	(n) saint (adj) dear, beloved, honored
küreselleş	to become global
gönüllü	volunteer
manzara	scenery, view
aşık	lover; admirer
tutukla	to arrest
şikayet	complaint
kütüphane	library
maliye	state finances
yükseklik	height
ithalat	imports
bilinçli	conscious
slogan	slogan
parla	to shine; to flare
belirti	symptom; sign
havuz	pool
sahil	shore; coast; beach
atmosfer	atmosphere
böcek	bug; insect
simge	symbol
cuma	Friday
enstitü	institute
inat	persistence; stubbornness
şaka	joke
vasıta	means; vehicle
kanaat	opinion
hikmet	wisdom
çabala	to make great effort
zayıfla	to lose weight; to get weak
ser	to spread
kıyasla	(v) to compare (posp) in comparison with, beside
yut	to swallow
ertele	to postpone
kırık	broken
pozitif	positive
okşa	to caress
karışık	mixed
yar	(v) to split (n) beloved; sheer cliff
sin	to pervade; to cower
selam	salute; greetings
dilek	wish
kılıç	sword
şaşkın	confused; silly
bölgesel	regional
şeytan	Satan, the Devil
düzgün	smooth
anında	immediately
depo	storehouse
onay	approval, consent
imam	prayer leader
askerlik	military service
bozukluk	defect; small change
ölçüt	criterion
çıkmaz	dead end, impasse
iptal	cancellation
şeyh	sheikh
yurttaş	citizen
tara	to comb
fakir	poor
direk	pole, mast
mülkiyet	ownership; possession
masraf	expense
yerleşim	settlement
haksızlık	injustice
nedense	for some reason or other
harika	wonderful
estetik	aesthetics
şimdilik	for now, for the time being
sıvı	liquid
karışım	mixture
cenaze	funeral
belirsiz	uncertain
şok	shock
konsey	council
sök	to pull out
gereksiz	unnecessary
mimar	architect
kov	to drive away; to fire
görüşme	interview
rüzgar	wind; breeze
atık	waste, garbage
hayran	admirer, fan
acele	quick
baz	base
epey	(adv) fair, fairly (det) a good deal of
milliyetçilik	nationalism
vadeli	dated
boru	pipe, tube
coşku	enthusiasm
salt	solely; absolute
hatır	sake
profesyonel	professional
hakikat	truth
denk	equal
bez	(n) piece of cloth (v) to get tired
kalıcı	permanent
varsayım	assumption; hypothesis
kahkaha	laughter
general	general
inanılmaz	unbelievable
üzüntü	sorrow, sadness
şef	chief, leader
sıfat	title
yahut	or
aldat	to cheat
finansal	financial
bilet	ticket
yokluk	absence; nonexistence
katılımcı	participant
ırk	race
iğne	needle
kimisi	someone, some people
mevzuat	laws and regulations
tatmin	satisfaction
duruş	posture; stance
katil	murderer
kapitalist	capitalist
imaj	image
dere	stream
cevapla	to answer
odak	focus
izlenim	impression
kuşat	to surround
haksız	unjust
taklit	imitation
pozisyon	position
nitele	to modify; to characterize
gen	gene
finansman	financial resources
sürgün	exile
bal	honey
sırf	solely
sevda	love
fıkra	joke; anecdote
çirkin	ugly
gömlek	shirt
his	feeling
lisans	license; bachelor’s degree
ressam	painter
balkon	balcony
ten	skin
dolaylı	indirect
kanser	cancer
fena	bad; terrible
kısacası	in short
açılış	opening
sürpriz	surprise
yılan	snake
ödev	duty; assignment, homework
kapsamlı	comprehensive
işadamı	businessman
düğme	button
yakınlık	closeness; proximity
surat	face
öğrenim	education; schooling
devret	to transfer
tavuk	hen, chicken
sav	(v) to get rid of (n) claim
bayıl	to faint
basınç	pressure
razı	willing, ready
pembe	pink
kucakla	to hug
gerçekçi	realist
programla	to program
düşüş	fall
av	hunt
komite	committee
durak	bus stop
yoksulluk	poverty
fırtına	storm
müzakere	negotiation
böylelikle	so, in this way
kuyu	well
varsay	to assume
uyuşturucu	drugs
gerilim	tension
kömür	coal
ötürü	because of
senet	voucher
mühendislik	engineering
