oei	oops
sowieso	anyway
och	oh
tweehonderd	two hundred
ha	ah
tweeduizend	two thousand
enfin	in short, anyway
hm	hmm
nul	zero
verbinding	connection
aha	aha
hoezo	why
heleboel	a lot
enzovoort, enz., en zo	etc., and so on
tja	well
frank	frank
amai	~ oh my (God)
alhoewel	although
voilà	there you are
gelijk	just as
pff	whew
Engels	English
tof	great
vierentwintig	twenty-four
bah	yuck
Frans	French
vijfhonderd	five hundred
driehonderd	three hundred
komma	comma
benieuwd	curious
ho	stop
jee	oh dear, oh no
hoi	hi
lesgeven	to teach
zesentwintig	twenty-six
rap	fast, quick(ly)
eenentwintig	twenty-one
tweeëntwintig	twenty-two
cd	CD
drieëntwintig	twenty-three
zat	plenty
vijfendertig	thirty-five
vierhonderd	four hundred
tussendoor	in between
ginder	over there
diegene	he, she, those who
achtentwintig	twenty-eight
dinges	what-d’you-call-it, thingy
vijfenveertig	forty-five
volgend	next
zeshonderd	six hundred
morgenavond	tomorrow
gelukken	to succeed
mailen	to mail, to post
irritant	irritating
opsturen	to send
weeral	again
content	content
wiskunde	mathematics
goesting	fancy
dialect	dialect
groet	greeting
September	September
link	link
bron	source
oppervlakte	surface
forum	forum
topic	topic
indien	if
aangezien	since
post	post
verenigen (zich)	to unite
tevens	also
maja	but then
et cetera, etc.	etc.
statistiek	statistics
afbeelding	image
voornamelijk	mainly
commercieel	commercial
term	term
wereldoorlog	world war
hierdoor	because of this, through this
hierbij	hereby, with this
hiervan	of this
district	district
merk	brand
pink	little finger
deelstaat	(federal) state
westen	west
sterkte	strength
album	album
motorfiets	motorcycle
derde	third
oosten	east
super	super
koninkrijk	kingdom
huishouden	household
zalig	glorious, heavenly
innen	to collect
btw	VAT
haha	haha
republiek	republic
oorsprong	origin
stichten	to found, to start
definitie	definition
luisteraar	listener
kenmerk	characteristic
rijk	state (kingdom, empire)
beschrijving	description
cc	cc
o.a.	amongst other things
onafhankelijkheid	independence
zever	nonsense
departement	department
single	single
geografie	geography
radiostation	radio station
godsdienst	religion
hierin	in this
grenzen	to border
zwangerschap	pregnancy
beluisteren	to listen
dr.	Dr, doctor
hierboven	above
kenmerken	to characterize
hit	hit
keizer	emperor
hierop	(up)on this
geografisch	geographic(al)
paus	pope
indeling	division
Romeins	Roman
frequentie	frequency
zot	foolish
bijgevolg	as a consequence
hoofdzakelijk	mainly
benaming	name
ex	ex
posten	to post
hierna	after this
hieronder	below
verwant	related
vernoemen	to name
privé	private
bevalling	delivery
aanhalen	to pull in, to tighten
splitsen	to split
gewoonweg	simply
downloaden	to download
insect	insect
typen	to type
derhalve	therefore
definiëren	to define
weergeven	to represent
ideologie	ideology
christendom	Christianity
kolonie	colony
interpreteren	to interpret
data	data
nazi	Nazi
gen	gene
hernemen	to resume
historie	history
hieraan	to this
minder	less
verder	further
anders	otherwise
echter	however
meest	most
best	best
vanuit	from
immers	indeed
vrijdag	Friday
organisatie	organization
overheid	government
maandag	Monday
positief	positive
behoren	to belong
intussen	meanwhile
raad	advice
uitvoeren	to perform
niveau	level
woensdag	Wednesday
gratis	free
bedoelen	to intend
liefst	preferably
beperken	to limit
treden	to step
jou	you
donderdag	Thursday
bevestigen	to confirm
weigeren	to refuse
dertig	thirty
discussie	discussion
dinsdag	Tuesday
uitspraak	statement
druk	pressure
veroorzaken	to cause
klant	customer
systeem	system
ontwikkeling	development
bevinden (zich)	to find
kritiek	criticism
Nederlander	Dutchman
cultuur	culture
poging	attempt
verantwoordelijk	responsible
minstens	at least
beweren	to claim
fout	error
dwingen	to force
leiding	leadership
veld	field
steunen	to support
dalen	to go down
binnenkort	shortly
vijftien	fifteen
initiatief	initiative
gevaar	danger
eventueel	potential
internet	internet
gebrek	lack
kwaliteit	quality
onderwijs	education
vertrouwen	trust
plots	sudden
product	product
beleid	policy
plegen	to commit
functie	function
eveneens	also
vijftig	fifty
ontbreken	to lack
jeugd	youth
buitenland	foreign country, abroad
termijn	term
geweld	violence
elf	eleven
zaal	hall
verdedigen	to defend
negatief	negative
vestigen	to set
onderdeel	part
aanpassen	to adjust
zwak	weak
onbekend	unknown
omstandigheid	circumstance
Belg	Belgian
koning	king
beschermen	to protect
besluit	decision
reeds	already
bevatten	to contain
praktijk	practice
totaal	total
herstellen	to recover
compleet	complete
maatschappij	society
proces	trial
verklaring	statement
brand	fire
vrijwel	almost
moord	murder
verbeteren	to improve
toenemen	to increase
maal	1) time 2) meal
oorzaak	cause
effect	a) effect b) share
principe	principle
klagen	to complain
schrijver	writer
zogenaamd	so-called
geheel	whole
tijdelijk	temporary
scherp	sharp
respect	esteem
zowat	about
streng	severe
voorwaarde	condition
kunst	art
inzetten	to bring into action
aanvankelijk	initial
leger	army
bewijs	proof
zakken	a) to drop b) to fail
bereid	prepared, ready
twijfel	doubt
vrijheid	freedom
combinatie	combination
geheel	whole
vaststellen	to determine
meerder	more
klassiek	classic
verspreiden	to spread
thema	theme
voegen	to add
gegeven	fact, data
conclusie	conclusion
veertig	forty
vlak	plane
ziekte	disease
karakter	character
overnemen	to take over
beleven	to go through
jarenlang	for years and years
afdeling	department
schijnen	to appear
behouden	to keep
advies	advice
aanval	attack
akkoord	a) agreement b) chord
journalist	journalist
gisteravond	last night
drijven	to float
verantwoordelijkheid	responsibility
zestig	sixty
materiaal	material
opleiding	training
verwachting	expectation
waarna	after which
straf	punishment
droom	dream
ideaal	ideal
rechtstreeks	direct
uitgebreid	extensive
kader	frame(work)
vlucht	a) flight b) escape
tegenstelling	contrast
seconde	second
puur	pure
pagina	page
zelden	rarely
bedanken	to thank
noodzakelijk	necessary
uitstekend	excellent
gedrag	behaviour
overleven	to survive
plaatsvinden	to take place
uiterst	extremely
vermoedelijk	supposed, suspected
voortaan	henceforth
uitmaken	a) to decide b) to break up
reizen	to travel
vechten	to fight
logisch	logical
vermoeden	to presume
creëren	to create
interview	interview
bord	plate
generatie	generation
sindsdien	since
zone	zone
huwelijk	marriage
vermoorden	to murder
commentaar	comment
computer	computer
medisch	medical
tenslotte	after all
gebeurtenis	event
gedurende	during
instelling	a) institution b) attitude
fel	fierce
papier	paper
energie	energy
weliswaar	admittedly
vermijden	to avoid
gerust	calm
val	fall
wapen	weapon
eiland	island
kern	core
verzekeren	to ensure, to assure
maatschappelijk	social
stijl	style
typisch	typical
verwijderen	to remove
debat	debate
eis	requirement
meenemen	to take
menselijk	human
verzorgen	to care for
zekerheid	certainty
eer	honour
sector	sector
restaurant	restaurant
ster	star
trots	proud
verbieden	to prohibit
getuige	witness
aanpakken	to tackle
toegang	access
zuiden	south
aangeven	to hand
waarheid	truth
effectief	effective
versterken	to strengthen
uitzondering	exception
veertien	fourteen
auteur	author
model	a) model b) model (person)
scheiden	to separate
alsnog	yet
concreet	concrete
komst	advent
buur	neighbour
gouden	gold
welkom	welcome
afhankelijk	dependent
letterlijk	literal
museum	museum
smaak	taste
snelheid	speed
individueel	individual
hiermee	herewith
elders	elsewhere
acteur	actor
uitleg	explanation
aantrekken	to put on
arts	physician
overleg	consultation
aansluiten	to connect
lossen	to unload
degene	the one, those
dom	stupid
centimeter, cm	centimetre
vertonen	to show
detail	detail
geschikt	suitable
spanning	tension
hotel	hotel
instantie	body, organization
destijds	at the time
wetenschappelijk	scientific
noorden	north
fietsen	to cycle
concert	concert
voorkeur	preference
bezit	possession
passeren	to pass
werkelijkheid	reality
fantastisch	fantastic
spannend	exciting
argument	argument
streek	a) region b) trick
moe	tired
begeleiden	to accompany, to coach
belangstelling	interest
houding	attitude
oproepen	to call
toegeven	to admit
zestien	sixteen
vangen	to catch
wens	wish
jezelf	yourself
massaal	massive
vermelden	to mention
wandelen	to walk
interesse	interest
voorstelling	performance
fase	phase
bijkomen	a) to add b) to come round
vliegtuig	plane
nood	distress
betekenis	meaning
beroemd	famous
optreden	action, performance
behandeling	treatment
ervaren	to experience
aanvaarden	to accept
kijker	viewer
verblijven	to stay
aanbod	offer
mislukken	to fail
plant	plant
traditie	tradition
verwerken	to process
verhouding	a) ratio b) affair
belasting	tax
arm	poor
specifiek	specific
zichtbaar	visible
pers	a) press (journalists) b) press
hoeveelheid	quantity
kantoor	office
zetel	seat
noch	nor
standpunt	position
dringend	urgent
gedragen (zich)	to behave
uitspreken	to pronounce
professioneel	professional
exemplaar	copy
aanwezigheid	presence
goedkeuren	to approve
toelaten	to allow
toevoegen	to add
voorbereiden	to prepare
vrouwelijk	female
kwart	quarter
draad	thread
handel	trade
opleggen	to impose
Russisch	Russian
adres	address
interesseren	to interest
zelfstandig	independent
inspanning	effort
patiënt	patient
wetenschap	science
zicht	view
heersen	a) to be b) to dominate
soldaat	soldier
motor	engine, motorcycle
verstaan	to hear, to understand
tekort	shortage
klas	class
ofwel	or
praktisch	practical
uitslag	result
waaraan	at which
uitbreiden	to expand
landelijk	national
doden	to kill
meedoen	to participate
qua	qua
achttien	eighteen
