de	the
en	and
in	in
van	of
op	on
zijn	to be
het, ’t	1) the 2) it
een	a
voor	a) for b) in front of
die	a) that, those b) that, who
met	with
te	to
hebben	to have
niet	not
aan	to
ook	also
er	there
als	when
veel	much
kunnen	to be able
dat	that
om	(a)round
worden	to be
dat	that
nog	still
maar	but
bij	near (to)
zij, ze	a) she b) they
naar	to
uit	from
gaan	to go
komen	to come
zullen	will
of	or
over	a) over b) about
moeten	to have to, must
door	through
al	already
geen	no
dan	then
goed	good
wel	~ rather
maken	a) to make b) to repair
tot	to
hij	he
wat	what
zo	so
nu	now
zijn, z’n	his
jaar	year
ander	other
doen	to do
dit	this
willen	to want
zich	herself, himself, itself, themselves
staan	to stand
zien	to see
zeggen	to say
krijgen	to get
wij, we	we
groot	a) big b) great
na	after
hun	a) their b) (to) them
ik	I
deze	this, these
daar	there
jij, je	you
vinden	to find
laten	to let
al	all
tegen	against, towards
twee	two
een, één	one
heel	whole
geven	to give
blijven	to remain
waar	where
toch	yet
ons	a) us b) our
onder	under
weten	to know
zitten	to sit
dan	than
maar	but, only, just
mens	human
omdat	because
alleen	alone
nemen	to take
houden	to hold
nieuw	new
mogen	to be allowed
weer	again
tijd	time
lang	long, tall
af	off
liggen	to lie
dus	so
haar	a) her b) her (poss)
drie	three
tussen	between
mij, me	me
eens	once, (not) even
volgen	to follow
dag	day
zelf	self
mijn, m’n	my
zoals	as
hem, ’m	him
mee	with
iets	something
hoe	how
denken	to think
zonder	without
want	because
hier	here
altijd	always
te	too
plaats	place
enkel	a few, a single
beginnen	to start
man	man
week	week
toe	towards
echt	real
keer	time, occasion
wie	who
werken	to work
volgens	according to
eigen	own
vooral	especially
zelfs	even
stellen	to put
brengen	to bring
zeker	certain
elk	each
net	just
lopen	to walk
klein	little
nooit	never
vragen	to ask
vallen	to fall
alles	everything
terug	back
horen	to hear
spelen	to play
uur	hour
oud	old
hoog	high
even	just
tijdens	during
steeds	always
toen	when
vorig	previous
binnen	within
gewoon	usual, normal
niets	nothing
snel	fast
kijken	to look
maand	month
jong	young
halen	to get
lijken	to seem
zetten	to put
blijken	to prove
toen	then
weinig	little, few
eerst	first
elkaar	each other
mogelijk	possible
samen	together
kind	child
werk	work
land	country
vrouw	woman
hand	hand
leven	life
zo’n	such a
