coger	to hold, take, catch
suyo	his, hers, yours (−fam), theirs
tratamiento	treatment, processing
conservar	to conserve, preserve
raro	strange, rare, scarce
puesto	job, place, position
retirar	to take away, retire
exterior	exterior, outside
ay	oh no!, oh my!
acá	here, around here
campaña	campaign
vuelta	return, turn
particular	particular, peculiar
operación	operation
usuario	user
industria	industry, factory
cuadro	painting, picture
alimento	food, nourishment
jugador	player, gambler
frío	cold
crecimiento	growth, increase
aplicación	application
organismo	organism, (human) body
conflicto	conflict
optimista	optimistic
periódico	newspaper, periodical
atender	to serve, attend to
añadir	to add
directo	direct, straight
impedir	to prevent, hinder
cristiano	Christian
argentino	Argentine
determinar	to determine, decide
ruido	noise
junio	June
frase	phrase
actualmente	now, at present
sensación	sensation, feeling
venta	sale
sonido	sound
característica	characteristic, aspect
cerca	close, near
instrumento	instrument
bello	beautiful, fine
visión	vision
sonrisa	smile
factor	factor, cause, influence
tecnología	technology
convencer	to convince, persuade
hospital	hospital
voluntad	will, willpower, intention
definir	to define
organizar	to organize
poeta	poet
corto	short, brief
firmar	to sign
versión	version, account
pleno	complete, full
similar	similar
labio	lip
tradición	tradition
cliente	client, customer
luchar	to fight, wrestle
abril	April
análisis	analysis
enemigo	enemy
científico	scientific
grito	cry, shout, scream
habitación	room, bedroom, habitat
olor	smell, odor, fragrance
estadounidense	U.S., American
oficina	office
tranquilo	calm, tranquil, relaxed
caja	bank, box, safe
prestar	to lend
insistir	to insist on
puerto	port, harbor
clásico	classic
superar	to overcome, surpass
identificar	to identify
juicio	judgment
exactamente	exactly
esposa	wife
sencillo	simple, plain, easy
beber	to drink
revolución	revolution
rosa	rose
comercio	commerce, trade
escena	scene, stage, setting
premio	prize, reward
cuarenta	forty
enfermo	ill, sick
superficie	surface, area
aquello	that over there (n)
provincia	province, region
absoluto	absolute
terreno	ground, earth, terrain
respeto	respect, regard
técnico	technical
violencia	violence
risa	laugh, chuckle
mencionar	to mention, cite
muerto	dead
numeroso	numerous
muchacha	girl
etapa	stage, period
proteger	to protect
contemplar	to contemplate
moral	moral
interno	internal
mínimo	minimum
instalar	to install
presente	present
museo	museum
perfecto	perfect
ataque	attack, raid
máquina	machine
