esinle	to inspire
merhamet	pity, affection
genelle	to generalize
süpür	to sweep
iskelet	skeleton
sembolik	symbolic
başak	spike
akciğer	lung
akılcı	rational
feodal	feudal
fiş	plug; tag
korsan	pirate
yazgı	fate
duygulan	to be affected, to be moved
seyrek	sparse; scattered
musiki	music
operatör	operator
dürtü	instinct
eksil	to lessen
gitar	guitar
gezgin	traveler
öküz	ox
saksı	flowerpot
kılavuz	guide
tül	net, tulle
biçimsel	formal
görece	relatively
arıza	failure, breakdown
esrar	mystery; marijuana
muhtelif	varied
manken	model, mannequin
durgun	calm
oyunculuk	acting
beşik	cradle
kısmi	partial
idrar	urine
mutsuzluk	sadness, unhappiness
uygar	civilized
parasız	broke, penniless; free
manşet	headline, caption
tatbik	application
toptan	totally
eziyet	torture, suffering
dikiş	sewing, stitch
ırkçılık	racism
reçete	prescription; recipe
imal	production, product
metafizik	metaphysics
uğultu	hum, roar
mahcup	shy
kabak	zucchini, pumpkin, squash
doğra	to chop
taşıt	vehicle
teşekkül	formation, composed of
minimum	minimum
nispeten	relatively
ezber	memorization
krem	cream
hipotez	hypothesis
eksiksiz	complete
genelge	circular
esin	inspiration
sorunlu	problematic
us	mind
asli	primary, essential
molla	mullah
komedi	comedy
çakmak	lighter
tuzlu	salty
nispet	ratio
yankılan	to echo
liberalizm	liberalism
bağıntı	relation, connection
okey	okay
tekil	singular, individual
bulaşık	(n) dishes (adj) dirty
hayalet	ghost
faşizm	fascism
madalya	medal
büyüle	to charm
taşımacılık	transportation, shipping
acemi	novice
volkan	volcano
teftiş	inspection
yargıtay	supreme court
veyahut	or
yaşlılık	old age
simit	bagel
radyasyon	radiation
vezir	vizier
gösterim	display, show
istatistiksel	statistical
durakla	to pause, to hesitate
çalı	bush
abartılı	exaggerated
lale	tulip
ilgisiz	irrelevant; indifferent
mertebe	degree, rank
muazzam	enormous
yeterlilik	adequacy
deneyimli	experienced
icraat	performance
enfeksiyon	infection
karga	crow
ceylan	deer
kentleş	to urbanize
kesintisiz	uninterrupted
duş	shower
yün	wool
mani	obstacle; short poem
otoriter	authoritarian
ödün	concession
manyak	maniac
anlatıcı	narrator
kravat	tie, necktie
cadı	witch
müşterek	common
çevrili	surrounded
ortodoks	orthodox
nazaran	in comparison to
bürokratik	bureaucratic
tetkik	investigation, examination
türev	derivative
güz	autumn, fall
akıntı	current, flow
egzersiz	exercise
kıvrım	curl, twist
hareketlen	to move
düzensiz	unsystematic
engelli	handicapped
tahliye	discharge, release
merci	official authority
sosyolojik	sociological
göçebe	migrant, nomad
havlu	towel
dershane	classroom, training center
mütevazi	humble
gardiyan	guardian
peşin	beforehand; in cash
yersiz	irrelevant
telafi	compensation
nam	name; reputation
uyuşmazlık	disagreement
ayin	service, rite
ateşli	fiery
gurbet	foreign land
lacivert	navy blue
çan	bell, gong
kurbağa	frog
nazlı	shy, delicate
isimlendir	to name
ansiklopedi	encyclopedia
poşet	nylon bag
beze	to adorn, to decorate
bilinçsiz	unconscious, unaware
inandırıcı	persuasive
bülbül	nightingale
sınıfsal	class-related
vize	visa; approval
sinsi	sly
kafe	cafe
fazilet	virtue
fotoğrafçı	photographer
bıçakla	to stab
yurtiçi	domestic
incit	to hurt
fevkalade	extraordinary
pil	battery
püskür	to spew
serseri	vagabond, drifter
güya	so to say, supposedly
otla	to graze
inisiyatif	initiative
deneysel	experimental
hiza	line
ebe	midwife
karbondioksit	carbon dioxide
lakin	however, but
pençe	claw
karaciğer	liver
tok	full
fazlalık	excess
çabucak	rapidly
papa	pope
alo	halloo, hello
sabırlı	patient
umumi	general, public
kaplan	tiger
kıvam	consistency
zikret	to cite, to mention
akarsu	stream, river
alfabe	alphabet
nemli	moist
börek	pastry
inanış	belief
karşı	opposite, against
sertleş	to get harder
ürkek	timid
eşcinsel	homosexual
çekicilik	attractiveness
suskunluk	silence
ıslah	reform, improvement
ısrarlı	insistent, steadfast
ihtiva	contents
erozyon	erosion
kayık	boat
felç	paralysis
sapan	slingshot, sling
kitlesel	massive, mass
karlı	snowy
sırıt	to grin
akaryakıt	fuel
fantezi	fantasy
cerrahi	surgical
tutucu	conservative
yel	wind
ahır	stable
yatkın	prone to, inclined to
tükür	to spit
havale	referral
şen	joyful
çark	wheel
stil	style
ülkücü	idealist
jüri	jury
kutlu	blessed
anlamlandır	to make meaningful
kolektif	collective
tuğla	brick
kentli	city-dweller
ergin	mature, adult
sempati	sympathy
istismar	exploit, abuse
tekme	kick
kervan	caravan
tezgah	stall, counter; plot
tep	to kick
eklem	joint
göreli	relative
kromozom	chromosome
bomboş	empty
matbaa	printing house
asistan	assistant
tunç	bronze
apaçık	wide open; obvious
israf	waste
giz	secret, mystery
telaffuz	pronunciation
plaj	beach
cumhuriyetçi	republican
beşeri	human
bono	bond
tertip	arrangement, organization
zevkli	enjoyable
orospu	prostitute
şeffaf	transparent
etiket	label
optik	optics
yürekli	brave
görgü	manners
kopuk	disconnected; broken off
saman	hay
rütbe	rank
büz	to pucker
atfet	to attribute
magazin	magazine
kısır	barren, infertile, unproductive
limit	limit
mühür	seal
cüce	dwarf
gazino	casino
orgeneral	four-star general
battaniye	blanket
kolon	column
tanzimat	reforms
gözetle	to watch
elektron	electron
itici	repulsive; motivating
beyanname	declaration
bale	ballet
yandaş	advocate
diplomat	diplomat
dalgın	preoccupied; absentminded
sadrazam	grand vizier
onurlu	respectful
gizlilik	secrecy
karpuz	watermelon
rota	course, route
enstrüman	instrument
kayısı	apricot
düdük	whistle
kahramanlık	heroism
fizyolojik	physiological
çarpık	crooked, twisted
ümmet	community; mass
adi	cheap; vulgar
villa	villa
tekke	dervish lodge
horoz	cock, rooster
erkeklik	masculinity
zamanlı	timed, timely
tıraş	shaving
refleks	reflex
kumsal	beach, shore
zeytinyağı	olive oil
sitem	reproach
postmodern	postmodern
boşver	to ignore, to let go
iftira	slander
kümes	coop
inkar	denial
komuta	command and control
asi	rebellious
dram	drama
istila	invasion
numune	sample
bataklık	swamp
arena	arena
kir	dirt, filth
ayran	buttermilk
dışsal	external
turuncu	orange
sakıncalı	harmful
kemir	to gnaw
üretken	productive
sıva	to plaster
format	format
örgütlü	organized
ray	rail
kalsiyum	calcium
netleş	to become apparent
hoşnut	pleased, happy
cazibe	charm
tembel	lazy
muhterem	dear, honored
yardımlaş	to help each other
sehpa	coffee table
çınla	to ring
matematiksel	mathematical
lif	fiber
düzenleyici	regulator
altüst	upside down
yarımada	peninsula
karşılıksız	unreciprocated, complimentary
yumak	skein
manevra	maneuver
grip	flu
ego	ego
jest	favor, gesture
sarmala	to wrap
yüzeysel	superficial
fıstık	peanut
tabut	coffin
doğalgaz	natural gas
sızı	ache
bülten	bulletin
aykırılık	incongruity; difference
elmas	diamond
kavramsal	conceptual
kumanda	command
atlı	horseman
teras	terrace
antlaşma	agreement; treaty
baca	chimney
bozkır	steppe
açmaz	deadlock; impasse
faz	phase
birebir	one-to-one
alarm	alarm
akşamüstü	evening
tanrıça	goddess
örümcek	spider
özgül	specific
nispi	relative
vahim	grave
doküman	document
