oficialmente	officially
informativo	informative
manifiesto	poner de m.: to show
colina	hill, slope
descendiente	descendant
manta	blanket
realista	realistic
guante	glove
petrolero	oil, petroleum
show	show, display
opositor	opponent
marítimo	maritime, marine
raya	line, ray, stripe
preservar	to preserve
cañón	canyon, cannon
capricho	caprice, whim
nido	nest
almorzar	to have lunch
murmullo	murmur, whispering
terremoto	earthquake
sereno	serene, calm
monarquía	monarchy
analista	analyst
carreta	cart, wagon
retiro	withdrawal, retreat
disputa	dispute, argument, quarrel
costarricense	Costa Rican
consuelo	comfort, consolation
graduar	to adjust, graduate
olímpico	Olympic, Olympian
química	chemistry, chemist
sugerencia	suggestion
dinámico	dynamic
verter	to pour, spill, shed
frecuentemente	frequently, often
interrogar	to question, interrogate
irregular	irregular
rematar	to finish off, finish up
creatividad	creativity
oveja	sheep, ewe
advertencia	warning, notice
anular	to annul, cancel
manipular	to manipulate, handle
operador	operator
restaurar	to restore, reinstate
diariamente	daily
vibrar	to vibrate, tremble
coser	to sew
implementar	to implement
suicidio	suicide
sistemático	systematic
valoración	assessment, valuation, evaluation
florecer	to flower, bloom, flourish
ascenso	promotion, climb
pánico	panic
talla	size (of clothing), stature
acta	(meeting) proceedings, minutes
inclinación	slope, incline, tendency
veinticuatro	twenty-four
deducir	to deduce, infer
nene	baby, small child
reja	grill, railing
ingrediente	ingredient
hectárea	hectare
prestación	benefit, lending of service
hormona	hormone
centavo	cent
idear	to devise, design
abismo	abyss, large gap
sanguíneo	blood, bloody
suministrar	to supply, provide
islámico	Islamic
debilitar	to weaken, debilitate
cristianismo	Christianity
asignatura	subject, course
pila	(baptismal) font, battery, heap
ilustración	illustration
exploración	exploration
trayecto	trajectory, course, path
proveedor	supplier, dealer
arquitectónico	architectural
litro	liter
pescador	fisherman
himno	hymn, anthem
expandir	to expand
umbral	threshold, outset
regar	to water, irrigate
pulso	pulse, pulsation
competente	competent, able
usado	worn out, old, used
vitamina	vitamin
laberinto	maze, labyrinth
persistir	to persist
excelencia	excellence
malestar	discomfort, unease, unrest
grandeza	greatness, size
descarga	unloading, discharge
mixto	mixed, co-ed
maleta	suitcase, case
alegar	to plead, argue
filtrar	to seep, filter
traición	treason, betrayal
medalla	medal, medallion
ganancia	gain, profit
equivaler	to be equivalent, tantamount (to)
reposo	rest, peace
ayudante	helper, assistant
porvenir	future, time to come
aldea	small village
reinado	reign, rule
ingenio	ingenuity, talent, wit
menú	menu
avergonzar	to embarrass, shame
carnaval	carnival
traicionar	to betray
configuración	configuration, shape
susurrar	to whisper, murmur
subterráneo	underground
deterioro	deterioration, damage
nacionalista	nationalist, nationalistic
agrario	agrarian, agricultural
electrón	electron
oscurecer	to get dark
espectro	ghost, specter
ente	entity, being, firm
forestal	forest
rector	principal, rector
filo	(cutting) edge
exportar	export
camiseta	T-shirt
duelo	grief, affliction
indicador	indicator, gauge
fondos	funds
ironía	irony
reposar	to rest, lie down
cartón	cardboard, carton, sketch
casita	cottage
crema	cream
coincidencia	coincidence
aplicado	applied
variante	variant, difference
remover	to remove
cátedra	academic chair
comando	command, order
atentado	(terrorist) attack, offence
ansia	anxiety, anguish
conllevar	to involve, bring
peculiar	peculiar
minero	mining
liso	smooth, flat, straight
cerámica	ceramics, pottery
manto	cloak
antepasado	ancestor
periodístico	journalistic
irritar	to irritate
cúpula	cupola, dome
despedida	goodbye, farewell
calificación	evaluation, qualification
transcurso	passing, course, lapse
resignar	to resign, relinquish
captura	capture, snapshot, screenshot
crónico	chronic
demostración	demonstration
orar	to pray, speak
asaltar	to assault
volcar	to turn/knock over, empty
moto	motorcycle
bando	faction, side
whisky	whisky
truco	trick, ruse
jugada	move, play
rencor	grudge, spite
correctamente	correctly
caridad	charity
gobernación	government, management
chorro	stream, jet, spurt
sucesivamente	successively, one by one
estimación	estimate
directivo	executive, manager
pupila	pupil
terminal	terminal, final
asimilar	to assimilate
inmigrante	immigrant
jaula	cage, crate, playpen
directivo	managerial, administrative
proximidad	proximity
traslado	transfer
tranquilizar	to calm down
manuscrito	manuscript
cabecera	head, header
pudrir	to rot, decay
guapo	handsome, beautiful
eliminación	elimination
bloqueo	blockade, block
insólito	unusual, uncommon
lente	lens, [pl] glasses
suprimir	to suppress, delete
porción	part, portion, share
recobrar	to recover, regain
insultar	to insult, berate
salsa	sauce, salsa
ventanilla	(vehicle) window
lámina	sheet (of metal)
tenso	tight, tense
coordinador	coordinator, organizer
procesar	to process, prosecute
reservado	reserved, booked
correspondencia	correspondence, connection
yacimiento	deposit, field
presentir	to sense in advance
mueca	face, grimace
resuelto	resolved, determined
riguroso	rigorous, severe
recorte	clipping, cutting, trimming
cardenal	cardinal
barrer	sweep, clean out
gusano	worm, caterpillar
apuesta	wager, bet
bruja	witch, hag
complejidad	complexity
protocolo	protocol, convention
dictador	dictator
francamente	frankly, openly
espera	wait
guión	script, hyphen
estrictamente	strictly
derrumbar	to knock down, demolish
sureste	southeast
lastimar	to hurt, damage
apurar	to speed up, hurry up
heroico	heroic
diecinueve	nineteen
desbordar	to overflow, spill over
sal	salt
arrepentir	to repent, regret
biografía	biography
cuidadosamente	carefully
desembocar	to flow, lead into
horizontal	horizontal
colchón	mattress
rosado	pink, rosy
toalla	towel
fármaco	drug, medicine
salpicar	to splash, splatter
sancionar	to sanction, penalize
carpeta	folder, file
trasero	behind, back
apetito	appetite
cercanía	nearness, proximity
resucitar	to resuscitate
estreno	premiere, debut
apóstol	apostle
naval	naval
volcán	volcano
presumir	to boast, show off, suppose
corteza	bark, crust, rind, peel
adorno	decoration, adornment
económicamente	economically
disculpa	apology, excuse
censura	censorship, criticism
ampliación	enlargement, extension
refugiar	to take shelter, give refuge
honrar	to honor
muralla	city wall
rondar	patrol, serenade
frustrado	frustrated
almohada	pillow
procesión	procession
suspensión	suspension
enfriar	to cool
apartamento	apartment
desplazamiento	movement, removal
reportaje	news report
fundir	to melt, cast, smelt
retraso	delay
acorde	agreement, accord
rescate	rescue, ransom
estrés	stress
cría	breeding, raising
observador	observer
editorial	editorial
manual	manual, handbook
multa	fine, penalty, citation
catalán	Catalan
comunión	communion
flexible	flexible
arco	arch, arc, bow
transferir	to transfer
